"ID","answered_all","Duration..in.seconds.","RecordedDate","UserLanguage","Dem_age","Dem_gender","Dem_edu","Dem_edu_mom","Dem_employment","Country","Dem_Expat","Dem_state","Dem_maritalstatus","Dem_dependents","Dem_riskgroup","Dem_isolation","Dem_isolation_adults","Dem_isolation_kids","AD_gain","AD_loss","AD_check","Scale_PSS10_UCLA_1","Scale_PSS10_UCLA_2","Scale_PSS10_UCLA_3","Scale_PSS10_UCLA_4","Scale_PSS10_UCLA_5","Scale_PSS10_UCLA_6","Scale_PSS10_UCLA_7","Scale_PSS10_UCLA_8","Scale_PSS10_UCLA_9","Scale_PSS10_UCLA_10","Scale_SLON_1","Scale_SLON_2","Scale_SLON_3","OECD_people_1","OECD_people_2","OECD_insititutions_1","OECD_insititutions_2","OECD_insititutions_3","OECD_insititutions_4","OECD_insititutions_5","OECD_insititutions_6","Corona_concerns_1","Corona_concerns_2","Corona_concerns_3","Corona_concerns_4","Corona_concerns_5","Trust_countrymeasure","Compliance_1","Compliance_2","Compliance_3","Compliance_4","Compliance_5","Compliance_6","born_92","experience_war","experience_war_TXT","war_injury","loss_during_war","time_spent_in_war","time_spent_in_war_TXT","Scale_UCLA_TRI_1","Scale_UCLA_TRI_2","Scale_UCLA_TRI_3","Scale_UCLA_TRI_4","PS_PTSD_1","PS_PTSD_2","PS_PTSD_3","PS_PTSD_4","PS_PTSD_5","BFF_15_1","BFF_15_2","BFF_15_3","BFF_15_4","BFF_15_5","BFF_15_6","BFF_15_7","BFF_15_8","BFF_15_9","BFF_15_10","BFF_15_11","BFF_15_12","BFF_15_13","BFF_15_14","BFF_15_15","Expl_Distress_1","Expl_Distress_2","Expl_Distress_3","Expl_Distress_4","Expl_Distress_5","Expl_Distress_6","Expl_Distress_7","Expl_Distress_8","Expl_Distress_9","Expl_Distress_10","Expl_Distress_11","Expl_Distress_12","Expl_Distress_13","Expl_Distress_14","Expl_Distress_15","Expl_Distress_16","Expl_Distress_17","Expl_Distress_18","Expl_Distress_19","Expl_Distress_20","Expl_Distress_21","Expl_Distress_22","Expl_Distress_23","Expl_Distress_24","Expl_Distress_txt","SPS_1","SPS_2","SPS_3","SPS_4","SPS_5","SPS_6","SPS_7","SPS_8","SPS_9","SPS_10","Expl_Coping_1","Expl_Coping_2","Expl_Coping_3","Expl_Coping_4","Expl_Coping_5","Expl_Coping_6","Expl_Coping_7","Expl_Coping_8","Expl_Coping_9","Expl_Coping_10","Expl_Coping_11","Expl_Coping_12","Expl_Coping_13","Expl_Coping_14","Expl_Coping_15","Expl_Coping_16","Expl_coping_txt","Expl_media_1","Expl_media_2","Expl_media_3","Expl_media_4","Expl_media_5","Expl_media_6","Final_open","PSS10_avg","SLON3_avg","neu","ext","ope","agr","con","SPS_avg","Scale_UCLA_TRI_avg"
"125079","Yes","736","2020-03-26 13:14:08","DA","34","Female","Up to 12 years of school","Some College or equivalent","Retired","Denmark","yes","Aarhus","Single","0","No","Isolated","1","0","� If Program A is adopted, 200 people will be saved.","NA","No","3","3","3","4","3","3","3","3","2","3","2","4","5","7","10","6","8","8","9","9","8","3","3","4","5","6","4","4","4","5","6","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","3","5","6","2","4","5","5","3","5","5","5","3","4","4","99","99","99","99","4","99","99","99","4","5","4","4","3","99","4","6","6","6","5","3","2","5","5","Hvordan min psyke vil have det efterfolgende ovenpa alt den isolation/folgevirkninger","6","5","6","6","4","4","6","6","5","6","6","5","5","3","3","5","5","5","5","5","4","4","4","5","1","5","NA","4","2","4","3","3","3","NA","2.8","3.666667","4","5.333333","4.666667","4.666667","4.333333","5.4","NA"
"125080","No","944","2020-03-26 13:17:27","DA","66","Female","Up to 9 years of school","Up to 9 years of school","Retired","Denmark","yes","Ballerup","Divorced/widowed","0","Yes","Isolated","0","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","Yes","1","4","2","4","4","1","4","5","2","1","5","1","4","5","10","8","10","10","10","10","10","5","6","6","6","6","9","6","6","6","1","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","6","6","5","NA","6","6","6","5","5","5","4","3","4","1","99","99","99","99","6","99","99","99","6","1","6","6","6","99","1","1","NA","5","6","3","2","6","99","NA","6","5","4","6","6","1","6","6","4","6","5","1","6","1","1","5","6","5","6","3","5","5","1","6","1","5","NA","2","3","4","4","4","1","NA","1.8","3.333333","1.333333","5.5","6","4","4","5","NA"
"125081","No","1046","2020-03-27 13:20:00","DA","27","Female","Up to 12 years of school","Up to 12 years of school","Full time employed","Denmark","yes","Slagelse","Married/cohabiting","1","No","Isolated","2","1","NA","NA","NA","5","3","5","4","3","2","3","3","2","3","5","1","4","6","10","7","8","7","8","8","8","4","5","5","6","6","7","6","6","6","2","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","6","5","1","4","4","6","NA","4","2","5","6","6","2","6","1","6","3","6","99","3","99","4","1","4","3","6","6","2","2","4","2","6","2","4","1","1","6","1","NA","5","5","5","6","5","5","5","6","5","5","4","1","6","1","6","6","1","1","6","1","4","1","2","2","1","1","NA","2","2","2","6","6","2","NA","3.1","3.333333","4","2.666667","5","5.333333","5.666667","5.2","NA"
"125082","No","677","2020-03-27 13:12:51","DA","48","Male","Up to 9 years of school","Up to 12 years of school","Full time employed","Denmark","yes","Ikast Brande","Married/cohabiting","2","Yes","Life carries on with minor changes","NA","NA","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","Yes","2","3","3","4","4","2","5","4","2","2","2","1","2","7","9","7","10","7","6","4","6","4","5","5","5","4","4","4","5","5","2","3","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","5","2","3","3","4","3","4","2","3","4","5","2","5","4","NA","6","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","5","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2.1","1.666667","2.333333","3","3.666667","4","5","NA","NA"
"125083","No","212","2020-03-27 13:04:27","DA","44","Female","College degree, bachelor, master","Up to 12 years of school","NA","Denmark","yes","Ballerup","Married/cohabiting","2","No","Life carries on with minor changes","1","2","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"125084","Yes","1092","2020-03-26 13:18:32","DA","25","Female","College degree, bachelor, master","Some College or equivalent","Not employed","Denmark","yes","Holbak","Married/cohabiting","1","No","Life carries on with minor changes","1","1","� If Program A is adopted, 200 people will be saved.","NA","No","2","1","1","5","5","2","5","5","1","1","2","1","1","8","10","8","9","8","10","10","10","2","4","3","5","5","5","6","6","5","2","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","5","5","6","2","6","6","5","3","4","5","3","3","6","1","99","99","1","99","1","1","3","1","4","2","6","5","2","99","2","99","1","1","1","2","1","1","1","NA","6","6","6","6","6","6","6","6","6","6","6","6","6","2","5","5","2","4","6","2","3","6","1","6","1","6","NA","6","1","2","4","5","3","NA","1.2","1.333333","2","5.333333","5.666667","4.333333","4.333333","6","NA"
"125085","Yes","1189","2020-03-26 13:19:38","DA","34","Female","College degree, bachelor, master","Up to 12 years of school","Full time employed","Denmark","yes","Aarhus","Married/cohabiting","1","Yes","Life carries on with minor changes","1","1","NA","� If Program C is adopted 400 people will die.","No","2","4","3","5","3","2","4","4","2","1","5","1","4","6","9","7","9","7","8","8","7","5","6","5","6","6","5","6","1","3","2","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","4","5","6","6","4","5","5","6","3","5","6","5","2","3","1","5","4","99","99","6","99","99","99","6","4","5","5","6","2","2","1","5","6","5","2","1","6","99","NA","6","6","6","6","6","6","6","6","5","6","5","4","5","2","3","3","1","4","5","1","4","4","4","1","1","5","NA","2","5","4","2","2","4","NA","2.2","3.333333","4","5","5.333333","5","4.333333","5.9","NA"
"125086","No","1139","2020-03-26 13:18:27","DA","40","Female","Up to 9 years of school","Up to 9 years of school","Retired","Denmark","yes","Odense","Married/cohabiting","0","Yes","Isolated","1","0","� If Program A is adopted, 200 people will be saved.","NA","No","3","3","3","4","3","4","4","4","4","3","2","2","3","3","7","6","7","8","7","8","8","6","6","6","5","5","3","5","6","6","3","3","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","3","3","3","3","4","4","4","5","4","4","4","4","4","4","99","99","99","99","99","2","1","4","99","6","5","6","6","6","99","3","99","4","5","5","5","2","4","2","Frustration over at anvisningerne ikke bliver fulgt af alle.","6","5","5","5","6","5","5","6","5","6","5","4","5","1","5","4","4","3","5","3","5","6","NA","6","1","5","Jeg har ikke kollegaer. Har snakke med naboer over hakken med fin afstand.","5","4","5","5","5","3","Jeg havde folt mig tryggere hvis der havde vare flere forbud om forsamling mm. Og hvis byggemarkeder og havecentre var lukket op til paske.","2.9","2.333333","3.666667","3","4.333333","3.666667","3.666667","5.4","NA"
"125087","Yes","636","2020-03-26 13:09:50","DA","51","Female","PhD/Doctorate","Up to 9 years of school","Part time employed","Denmark","yes","Aarhus","Married/cohabiting","2","Yes","Life carries on with minor changes","4","0","NA","� If Program C is adopted 400 people will die.","No","4","5","5","5","1","4","3","1","2","5","2","2","3","6","9","6","7","6","8","6","7","6","6","4","5","5","3","6","4","4","3","3","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","4","2","3","3","5","6","6","3","3","4","4","3","5","3","2","5","3","99","3","1","4","99","4","3","6","6","4","1","1","2","4","5","4","6","2","3","3","NA","4","2","5","4","4","4","4","5","5","3","4","4","4","3","4","1","1","1","4","3","1","4","4","2","2","4","NA","5","6","5","3","6","1","Lider af flere former for angst i forvejen, sa det er sindssygt svart ikke at lase alt online, jeg overhovedet kan, pa flere sprog og fra flere af de hardest ramte lande.","3.9","2.333333","5","3","5.666667","3.666667","4.333333","4","NA"
"125088","Yes","1037","2020-03-26 13:16:24","DA","31","Female","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Glostrup","Married/cohabiting","0","Yes","Isolated","2","0","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","4","4","2","4","3","4","4","3","3","2","1","1","4","5","7","7","2","4","6","8","2","3","5","2","5","4","2","5","4","5","2","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","2","5","5","1","6","2","6","4","5","5","5","2","4","99","1","99","1","99","5","1","2","99","6","1","6","5","1","3","4","99","4","99","4","2","2","6","2","NA","6","4","4","5","5","3","5","6","5","5","3","1","6","1","1","5","5","1","4","5","4","4","1","4","1","3","NA","3","1","1","2","1","2","NA","2.9","2","4.666667","5.333333","4.666667","4.333333","4.666667","4.8","NA"
"125089","Yes","1000","2020-03-26 13:13:53","DA","31","Female","College degree, bachelor, master","Some College or equivalent","Full time employed","Denmark","yes","9800","Married/cohabiting","2","Yes","Isolated","1","2","� If Program A is adopted, 200 people will be saved.","NA","No","2","2","4","4","2","3","4","3","3","2","2","1","4","3","7","8","10","8","9","8","8","4","4","4","4","4","8","6","6","6","3","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","2","4","4","4","2","6","3","5","3","2","4","3","3","5","2","5","1","2","4","5","1","3","4","5","3","4","6","3","5","5","4","4","5","3","1","1","5","1","Min mand og datter pa 1,5 ar blev testet positiv for corona. Jeg har udvist fa/mindre symptomer og min son pa 4 ar har nasten ingen symptomer haft. Vi har alle 4 varet i isolation sammen. Vi har alle sammen varet symptomfri i nasten en uge nu.","5","4","5","5","5","5","5","5","5","5","4","2","5","1","4","5","2","2","5","5","4","4","4","5","1","5","NA","4","1","1","4","4","1","NA","2.7","2.333333","3.333333","4.333333","4.666667","3.333333","4","4.9","NA"
"125090","No","1218","2020-03-27 13:17:16","DA","31","Male","Up to 12 years of school","Up to 9 years of school","Full time employed","Denmark","yes","Aalborg","Single","0","Yes","Life carries on as usual","0","0","� If Program A is adopted, 200 people will be saved.","NA","No","1","3","3","4","4","1","4","4","1","2","4","2","4","5","10","5","5","5","10","10","5","6","6","6","6","6","5","5","4","5","5","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","3","2","1","3","6","5","5","6","4","3","3","3","2","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.9","3.333333","3.666667","1.666667","5.333333","3","3.666667","NA","NA"
"125091","No","1360","2020-03-26 13:18:24","DA","45","Female","Some College, short continuing education or equivalent","Up to 6 years of school","Full time employed","Denmark","yes","Aarhus","Single","0","Yes","Life carries on with minor changes","NA","NA","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","3","5","3","4","4","3","4","4","3","2","4","3","4","7","9","9","9","9","8","9","10","4","6","4","5","5","5","6","6","6","3","4","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","3","5","5","5","5","5","5","3","3","3","6","5","2","6","3","3","99","2","99","5","99","99","99","5","2","6","5","6","99","2","1","5","1","4","6","2","5","1","NA","6","4","4","5","5","6","6","6","6","6","5","5","5","5","2","5","6","1","6","5","1","6","5","6","5","5","NA","6","1","1","1","4","3","NA","2.7","3.666667","2.666667","4","4.333333","4.333333","5.333333","5.4","NA"
"125092","Yes","1821","2020-03-26 13:26:01","DA","48","Male","Some College, short continuing education or equivalent","Some College or equivalent","Retired","Denmark","yes","Silkeborg","Married/cohabiting","0","Yes","Life carries on with minor changes","2","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","Yes","2","3","3","3","3","4","3","4","2","2","3","4","3","6","9","9","8","10","8","9","10","4","4","4","3","4","8","5","5","6","1","4","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","3","5","4","4","5","5","5","3","4","3","5","4","3","4","2","3","99","3","5","4","1","2","99","4","2","6","2","5","3","2","4","4","5","4","2","1","2","4","NA","6","5","5","6","5","5","5","6","5","5","5","3","5","3","5","5","2","4","4","5","4","5","3","5","1","6","NA","5","3","5","4","4","2","NA","2.7","3.333333","2.666667","3.333333","4.333333","3.666667","4","5.3","NA"
"125093","No","725","2020-03-27 13:06:16","DA","32","Female","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Jammerbugt","Married/cohabiting","1","NA","Life carries on with minor changes","1","1","� If Program A is adopted, 200 people will be saved.","NA","No","2","1","2","4","4","3","5","4","2","1","1","2","2","7","8","6","9","7","7","9","9","3","3","3","5","5","5","6","6","6","4","4","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","3","4","4","6","4","5","3","4","3","3","5","6","2","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.8","1.666667","3.333333","4.333333","4","4","5.333333","NA","NA"
"125094","No","813","2020-03-26 13:06:48","DA","46","Female","PhD/Doctorate","Up to 12 years of school","Full time employed","Denmark","yes","Dragor","Divorced/widowed","1","NA","Life carries on with minor changes","1","0","� If Program A is adopted, 200 people will be saved.","NA","No","2","2","2","NA","NA","2","5","5","1","1","3","1","3","7","10","9","9","10","9","9","9","1","6","5","6","6","5","6","6","6","5","5","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","4","5","3","6","3","6","6","5","1","3","5","6","2","5","1","6","1","1","6","6","1","1","1","6","2","6","6","6","1","1","1","2","2","1","1","1","1","6","NA","6","6","6","6","6","6","6","6","6","6","5","6","6","5","4","6","1","1","5","4","2","4","6","5","1","5","NA","1","6","1","1","6","6","NA","1.5","2.333333","2.666667","4.333333","5.666667","4.666667","5.333333","6","NA"
"125095","No","147","2020-03-27 12:55:29","DA","38","Male","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Kobenhavn","Married/cohabiting","3","Not sure","Life carries on with minor changes","1","2","NA","� If Program C is adopted 400 people will die.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"125096","No","3491","2020-03-26 13:50:11","DA","43","Female","College degree, bachelor, master","College degree","Not employed","Denmark","yes","Skanderborg","Married/cohabiting","3","NA","Life carries on with minor changes","2","2","NA","� If Program C is adopted 400 people will die.","No","2","4","3","3","3","3","3","3","2","3","4","1","2","7","10","7","8","8","9","9","8","2","5","4","5","5","4","5","4","5","2","4","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","2","1","1","4","2","2","2","1","3","4","5","NA","4","2","99","2","4","NA","2","2","2","4","4","2","3","2","2","99","2","2","2","2","2","2","2","4","2","NA","5","4","5","4","4","2","5","5","3","5","5","NA","NA","NA","NA","2","NA","NA","NA","NA","3","5","2","4","2","4","NA","4","4","2","2","2","2","Jeg fornemmer at nogle yngre mennesker, maske mellem 18-25 ar, tager let pa betydningen af at holde sig for sig selv. Det bekymrer mig, ikke mindst fordi det vil komme til at fa betydning for os alle pa sigt.","2.9","2.333333","3","1.666667","2","4.333333","4.5","4.2","NA"
"125097","No","1051","2020-03-26 13:08:48","DA","56","Female","Some College, short continuing education or equivalent","Up to 6 years of school","Part time employed","Denmark","yes","Kage","Married/cohabiting","0","NA","Life carries on with minor changes","1","0","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","1","3","3","5","3","3","4","3","2","3","3","2","3","7","9","6","8","8","8","7","9","4","5","4","5","5","5","6","6","6","2","4","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","5","4","5","3","5","5","4","1","5","5","6","3","5","99","1","4","99","3","4","99","1","99","4","2","4","4","5","4","4","1","4","5","4","4","1","5","3","NA","5","4","4","5","5","5","5","6","4","5","5","5","5","2","5","5","1","1","4","5","2","4","4","5","1","5","NA","4","2","1","6","5","5","NA","2.4","2.666667","1.333333","4.333333","4.666667","5.333333","5","4.8","NA"
"125098","Yes","4043","2020-03-26 13:58:32","DA","30","Male","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Kalundborg","Married/cohabiting","1","Yes","Life carries on with minor changes","1","1","NA","� If Program C is adopted 400 people will die.","No","2","1","1","5","4","2","5","4","2","2","1","1","3","8","10","8","9","8","9","9","10","1","2","1","3","3","5","6","6","6","4","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","6","5","6","2","5","4","4","4","6","4","3","2","6","1","1","1","1","1","1","1","1","1","2","2","1","2","1","3","4","1","2","1","1","1","1","4","1","NA","6","6","5","6","6","5","5","6","5","6","5","2","5","2","4","4","2","2","5","2","1","5","4","5","1","5","NA","6","5","5","5","4","4","NA","1.6","1.666667","1","5.333333","4.333333","4.333333","4.666667","5.6","NA"
"125099","No","660","2020-03-27 13:01:45","DA","29","Female","Up to 12 years of school","Up to 12 years of school","Full time employed","Denmark","yes","Holbak","Married/cohabiting","0","NA","Isolated","1","1","� If Program A is adopted, 200 people will be saved.","NA","No","5","4","5","3","2","4","3","3","4","4","4","1","4","4","6","7","7","7","7","8","6","6","6","6","6","6","4","4","5","5","3","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","3","3","4","4","4","5","4","3","3","5","5","5","5","5","5","99","2","5","5","2","2","99","5","4","5","5","5","3","3","2","5","4","5","5","3","5","99","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.9","3","5.333333","3.333333","4.333333","4","4","NA","NA"
"125100","No","2188","2020-03-26 13:26:42","DA","58","Female","Up to 12 years of school","Up to 9 years of school","Retired","Denmark","yes","Greve","Married/cohabiting","0","NA","Life carries on with minor changes","1","0","� If Program A is adopted, 200 people will be saved.","NA","No","2","4","2","5","3","3","4","3","1","1","3","2","3","6","10","5","5","10","3","7","9","NA","NA","NA","NA","NA","NA","5","6","6","1","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","3","5","4","4","2","4","5","2","3","4","5","5","NA","3","NA","99","NA","1","3","5","1","99","99","6","3","5","99","NA","NA","NA","1","NA","99","NA","99","1","6","1","NA","6","5","3","5","5","4","4","6","4","6","5","3","5","NA","NA","NA","NA","1","5","5","4","5","NA","4","1","6","NA","NA","3","3","NA","NA","3","Jeg er pensionist og multiallergiker. Min situation har ikke andret sig vasentligt fra normalt, da jeg ikke kan deltage i sa mange sociale begivenheder som andre. Man kan sige at jeg er vant til at lide afsavn og vare papasselig for at holde mig rask. Dog er er kommet en storre isolation.","2.2","2.666667","3.333333","4.333333","3.666667","4.333333","4","4.8","NA"
"125101","No","253","2020-03-27 12:54:24","DA","51","Female","Some College, short continuing education or equivalent","Up to 9 years of school","Full time employed","Denmark","yes","Skanderborg","Single","3","NA","Life carries on with minor changes","0","1","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","Not sure","1","1","1","5","4","1","5","5","1","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.1","1","NA","NA","NA","NA","NA","NA","NA"
"125102","No","241","2020-03-27 12:54:02","DA","29","Female","Some College, short continuing education or equivalent","Up to 9 years of school","Student","Denmark","yes","Lemvig","Married/cohabiting","2","NA","Isolated","1","2","NA","� If Program C is adopted 400 people will die.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"125103","No","545","2020-03-26 12:58:59","DA","35","Female","College degree, bachelor, master","Some College or equivalent","Student","Denmark","yes","Assens","Married/cohabiting","3","NA","Isolated","1","3","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","4","4","4","3","2","4","3","2","4","4","4","4","5","7","8","6","9","8","8","8","8","2","5","5","5","4","5","5","5","6","2","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","5","2","3","6","3","4","4","3","2","5","5","2","5","4","6","3","5","2","4","1","5","5","2","3","5","5","2","2","2","2","3","3","2","2","2","6","2","NA","4","2","4","4","3","3","4","5","2","5","4","3","3","3","3","3","3","3","3","4","2","4","4","2","1","4","NA","4","2","2","2","2","1","NA","3.8","4.333333","3.666667","2","3.666667","3.666667","5","3.6","NA"
"125104","No","844","2020-03-26 13:02:30","DA","37","Female","College degree, bachelor, master","Up to 9 years of school","Full time employed","Denmark","yes","NA","NA","0","Not sure","Life carries on with minor changes","0","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","No","4","3","4","3","3","4","3","3","4","1","2","1","3","3","8","8","8","6","9","8","8","4","4","3","5","5","5","5","4","4","4","2","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","5","3","3","4","4","4","5","5","4","2","4","5","2","4","4","3","99","5","99","6","1","99","99","6","4","4","4","4","3","4","4","5","3","3","2","3","6","4","NA","5","5","5","5","5","5","5","5","5","4","4","5","5","2","5","4","2","2","2","3","3","3","5","5","1","5","NA","6","4","3","4","3","2","NA","3.2","2","4.666667","3.333333","4.666667","3","4.666667","4.9","NA"
